codigo,descricao,unidade_medida,grupo,data_venda,valor_declarado,valor_venda
01380,ESMALTE PREMIUM CORALIT ULTRA RESISTENCIA BRANCO BRILHANTE 225ML CORAL,UN,tinta_branca,2026-09-11T13:01:48Z,24.0,21.6
01380,ESMALTE PREMIUM CORALIT ULTRA RESISTENCIA BRANCO BRILHANTE 225ML CORAL,UN,tinta_branca,2026-09-15T13:39:24Z,24.0,21.74
61386,ESMALTE PREMIUM CORALIT ULTRA RESISTENCIA BRANCO BRILHANTE 225ML CORAL,L,tinta_branca,2026-09-14T19:10:20Z,21.99,21.99
01292,"ESMALTE PREMIUM HAMMERITE BRANCO BRILHANTE 0,8L CORAL",UN,tinta_branca,2026-09-09T15:26:38Z,86.24,85.84
01292,"ESMALTE PREMIUM HAMMERITE BRANCO BRILHANTE 0,8L CORAL",UN,tinta_branca,2026-09-10T16:15:42Z,88.2,88.2
01292,"ESMALTE PREMIUM HAMMERITE BRANCO BRILHANTE 0,8L CORAL",UN,tinta_branca,2026-09-09T12:06:29Z,98.0,88.26
62366,"ESMALTE PREMIUM HAMMERITE BRANCO BRILHANTE 0,8L CORAL",L,tinta_branca,2026-09-13T18:33:41Z,96.99,96.99
7891019207916,"ESMALTE PREMIUM HAMMERITE BRANCO BRILHANTE 0,8L CORAL",UN,tinta_branca,2026-09-13T15:58:06Z,113.9,113.9
01307,"ESMALTE PREMIUM HAMMERITE BRANCO BRILHANTE 2,4L CORAL",GL,tinta_branca,2026-09-14T12:21:03Z,249.0,224.01
712,ESMALTE SINTETICO SECAGEM RAPIDA DIALINE 900ML BRANCO NEVE IQUINE,UN,tinta_branca,2026-09-12T16:07:36Z,47.0,47.0
309586,"FUNDO ACR 3,6L DIALINE MULTIU BR IQ",GL,tinta_acrilica,2026-09-13T13:59:18Z,158.99,158.99
309586,"FUNDO ACR 3,6L DIALINE MULTIU BR IQ",GL,tinta_acrilica_branca,2026-09-13T13:59:18Z,158.99,158.99
309586,"FUNDO ACR 3,6L DIALINE MULTIU BR IQ",GL,tinta_branca,2026-09-13T13:59:18Z,158.99,158.99
15214,GALVIBEN ACRILICO DF BRANCO #  # ONU 1263 QUANT.LTDA TINTA 3 II,UN,tinta_acrilica,2026-09-15T12:20:46Z,49.99,49.99
15214,GALVIBEN ACRILICO DF BRANCO #  # ONU 1263 QUANT.LTDA TINTA 3 II,UN,tinta_acrilica_branca,2026-09-15T12:20:46Z,49.99,49.99
