codigo,descricao,descricao_sefaz,gtin,ncm,gpc,unidade_medida,data_venda,valor_declarado,valor_venda
40219,"IQUINE ESM DIALINE AB 0,1125L BR NEVE UN","DIALINE-ESM SEC RAP BCO NEVE 112,5ML -> COD.ONU: 1263 CL.RISCO: 3,0 GR.EMB: III TINTA CONTENDO SOLVENTE ORGANICO.",7892948012398,32081010,83000000,UN,2026-09-10T12:13:23Z,14.5,14.5
40220,"IQUINE ESM DIALINE AB 0,1125L PRETO UN","DIALINE-ESM SEC RAP PRETO 112,5 ML - COD.ONU 1263 CL.RISCO 3,0 GR.EMB III TINTA CONTENDO SOLVENTE ORGANICO.",7892948012374,32081010,83000000,UN,2026-09-13T11:59:09Z,14.5,14.5
009628,MASSA CORRIDA BALDE 20KG TINTAS LUX,,0,32141020,83000000,U N,2026-09-12T11:40:46Z,55.0,14.5
7892948024919,"TINTA ESMALTE BRANCO 112,5ML DELANIL IQUINE","TINTA ESMALTE SINTETICO IQUINE BRILHANTE DELANIL 112,5ML BRANCO NEVE",7892948024919,32081010,83000000,Lata,2026-09-15T14:25:53Z,14.5,14.5
11270,TINTA SPRAY U GER 400ML CZMD MUNDIAL,SPRAY CINZA MEDIO MUNDIAL 400ML,7898907527361,32082019,83000000,SP,2026-09-14T12:24:30Z,17.9,14.56
20164,TINTA SPRAY VERDE 340ML/190G,,0,32082011,83000000,UN,2026-09-10T17:47:06Z,14.7,14.7
145,THINER 500ML STARLUX,THINNER DILUENTE 500ML STARLUX,7898482120131,38140090,83000000,UN,2026-09-11T12:07:50Z,15.0,14.846666666666666
0004484,TINTA SPRAY PT FO 350ML U.GERA - TEKBOND,,7890000044844,32082019,83000000,UN,2026-09-12T15:31:27Z,14.9,14.9
7891153062181,TINTA P TECIDO 120M,,0,32091010,83000000,UN,2026-09-12T13:11:50Z,16.6,14.91
405486-1,TINTA VERMELHO 250ML CHEMICOLOR,,7899674039927,32082019,83000000,PC,2026-09-11T17:38:27Z,14.99,14.99
405485-1,TINTA CINZA CLARO 250ML CHEMICOLOR,,7899674035721,32082011,83000000,PC,2026-09-15T00:04:23Z,14.99,14.99
